date,title,review,rating,helpful_votes,platform,language,location,version,verified_purchase,year,month,week,helpful_flag,review_length,sentiment,cleaned_review,final_text
2024-09-08,Something various subject east list when strategy start.,Guess service this different everyone information large accept create bank occur agent. Within interest avoid economic clearly financial personal benefit lose space.,1,162,App Store,zh,Nicaragua,3.0.5,Yes,2024.0,2024-09,2024-09-02/2024-09-08,True,165,Negative,guess service this different everyone information large accept create bank occur agent within interest avoid economic clearly financial personal benefit lose space,guess service different everyone information large accept create bank occur agent within interest avoid economic clearly financial personal benefit lose space
2025-01-02,Crime sell rise wind reflect best imagine.,Executive must assume others series finally necessary point allow. Be now and worry low answer behavior final wonder seem when.,5,83,App Store,ru,Anguilla,4.5.2,No,2025.0,2025-01,2024-12-30/2025-01-05,True,127,Positive,executive must assume others series finally necessary point allow be now and worry low answer behavior final wonder seem when,executive must assume others series finally necessary point allow worry low answer behavior final wonder seem
2025-01-04,Short Congress turn east marriage behind forget.,Apply chance discover along employee relationship job yet until American ground. Magazine manage suffer term buy behavior test Congress collection meet evening through one on will.,4,33,Website,es,Holy See (Vatican City State),3.8.6,No,2025.0,2025-01,2024-12-30/2025-01-05,True,180,Positive,apply chance discover along employee relationship job yet until american ground magazine manage suffer term buy behavior test congress collection meet evening through one on will,apply chance discover along employee relationship job yet american ground magazine manage suffer term buy behavior test congress collection meet evening one
2025-01-05,Anything account piece require woman support.,Receive could agree loss certain drop. Teach Mrs beat show challenge instead bring total school knowledge machine after last drug far stop.,2,177,Website,fr,Malawi,4.0.6,No,2025.0,2025-01,2024-12-30/2025-01-05,True,139,Negative,receive could agree loss certain drop teach mrs beat show challenge instead bring total school knowledge machine after last drug far stop,receive could agree loss certain drop teach mr beat show challenge instead bring total school knowledge machine last drug far stop
2025-01-05,Spend cup anyone management another ever.,Response degree nothing focus discussion at. Own money bill everyone part third teacher avoid throughout instead series.,5,134,App Store,fr,Greece,5.7.4,Yes,2025.0,2025-01,2024-12-30/2025-01-05,True,120,Positive,response degree nothing focus discussion at own money bill everyone part third teacher avoid throughout instead series,response degree nothing focus discussion money bill everyone part third teacher avoid throughout instead series
2025-01-07,Help ago who he.,Since specific despite beautiful gun data sure gun listen card body treat guess. Far century table will tree drug still argue case.,2,134,Website,ja,Taiwan,2.3.0,Yes,2025.0,2025-01,2025-01-06/2025-01-12,True,131,Negative,since specific despite beautiful gun data sure gun listen card body treat guess far century table will tree drug still argue case,since specific despite beautiful gun data sure gun listen card body treat guess far century table tree drug still argue case
2025-02-03,Positive move agency lose rise fall huge state.,Officer learn raise kitchen drop computer left political. Study the training each reveal attorney security radio image mind like history situation whatever third Mr.,1,21,Amazon,fr,Madagascar,4.2.6,No,2025.0,2025-02,2025-02-03/2025-02-09,True,165,Negative,officer learn raise kitchen drop computer left political study the training each reveal attorney security radio image mind like history situation whatever third mr,officer learn raise kitchen drop computer left political study training reveal attorney security radio image mind like history situation whatever third mr
2025-02-05,Maintain say threat high expert place certain.,Live picture last free guess night use election after. Go quickly paper officer practice Mrs without expect foot.,3,190,App Store,ja,Italy,4.2.7,Yes,2025.0,2025-02,2025-02-03/2025-02-09,True,113,Neutral,live picture last free guess night use election after go quickly paper officer practice mrs without expect foot,live picture last free guess night use election go quickly paper officer practice mr without expect foot
2025-02-07,Challenge eye determine he.,Investment buy certainly energy stay send born college include fund tree. Decide best politics available tonight man each employee far know skin record nothing organization.,3,27,Google Play,en,Mongolia,3.7.5,No,2025.0,2025-02,2025-02-03/2025-02-09,True,173,Neutral,investment buy certainly energy stay send born college include fund tree decide best politics available tonight man each employee far know skin record nothing organization,investment buy certainly energy stay send born college include fund tree decide best politics available tonight man employee far know skin record nothing organization
2025-03-07,Growth pretty wish.,Ask develop bag also his worker pass. Expert white arm similar compare manager action sure us million crime six member recognize past.,4,120,Flipkart,ar,Guinea,5.2.6,Yes,2025.0,2025-03,2025-03-03/2025-03-09,True,134,Positive,ask develop bag also his worker pass expert white arm similar compare manager action sure us million crime six member recognize past,ask develop bag also worker pas expert white arm similar compare manager action sure u million crime six member recognize past
2025-03-07,Image itself deep community cause new.,Feel some quickly truth view response trip wrong old particularly. Identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish.,2,33,Website,hi,Tunisia,2.1.0,Yes,2025.0,2025-03,2025-03-03/2025-03-09,True,163,Negative,feel some quickly truth view response trip wrong old particularly identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish,feel quickly truth view response trip wrong old particularly identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish
2025-03-07,Because cell trade skill oil health.,Raise current career never feeling beat note. Leave contain site street benefit money reason mean rate group government level which leave tree ago.,1,144,Google Play,en,Iraq,5.8.3,Yes,2025.0,2025-03,2025-03-03/2025-03-09,True,147,Negative,raise current career never feeling beat note leave contain site street benefit money reason mean rate group government level which leave tree ago,raise current career never feeling beat note leave contain site street benefit money reason mean rate group government level leave tree ago
2025-04-06,Book half people.,Team audience throw four allow international. Recently partner offer debate range per friend usually method travel hair.,1,46,Amazon,hi,Moldova,3.5.0,Yes,2025.0,2025-04,2025-03-31/2025-04-06,True,120,Negative,team audience throw four allow international recently partner offer debate range per friend usually method travel hair,team audience throw four allow international recently partner offer debate range per friend usually method travel hair
2025-04-08,End lay race effect.,Usually class several whatever side seem give remember play happy. Prepare unit save drug alone spend piece put.,1,51,Flipkart,de,Norway,4.0.5,No,2025.0,2025-04,2025-04-07/2025-04-13,True,112,Negative,usually class several whatever side seem give remember play happy prepare unit save drug alone spend piece put,usually class several whatever side seem give remember play happy prepare unit save drug alone spend piece put
2025-05-02,Play forget home upon actually future.,Everybody provide painting travel question evening imagine affect. Price ever leg so play best different remember determine particularly rock participant leave.,2,176,Google Play,ru,Timor-Leste,3.0.1,No,2025.0,2025-05,2025-04-28/2025-05-04,True,160,Negative,everybody provide painting travel question evening imagine affect price ever leg so play best different remember determine particularly rock participant leave,everybody provide painting travel question evening imagine affect price ever leg play best different remember determine particularly rock participant leave
2025-05-05,Fish they risk she.,Whether partner personal dinner drive check wife travel forget my deal catch. Range dark catch read together travel involve training show prevent north citizen attack mouth rest.,3,83,App Store,fr,Kenya,2.2.8,No,2025.0,2025-05,2025-05-05/2025-05-11,True,178,Neutral,whether partner personal dinner drive check wife travel forget my deal catch range dark catch read together travel involve training show prevent north citizen attack mouth rest,whether partner personal dinner drive check wife travel forget deal catch range dark catch read together travel involve training show prevent north citizen attack mouth rest
2025-05-05,Politics sense break.,Space end red machine son television garden base certain value. Study sell include himself produce rise cold official success.,5,77,App Store,en,Lebanon,1.7.6,No,2025.0,2025-05,2025-05-05/2025-05-11,True,126,Positive,space end red machine son television garden base certain value study sell include himself produce rise cold official success,space end red machine son television garden base certain value study sell include produce rise cold official success
2025-05-06,Past much soldier reason any.,Notice American force although participant rich speech big mention rise front PM. Institution against wear either present third student item bring court end.,2,144,Flipkart,pt,Falkland Islands (Malvinas),4.8.5,No,2025.0,2025-05,2025-05-05/2025-05-11,True,157,Negative,notice american force although participant rich speech big mention rise front pm institution against wear either present third student item bring court end,notice american force although participant rich speech big mention rise front pm institution wear either present third student item bring court end
2025-06-01,Price prevent baby voice day relate spend.,Discussion open dinner section thousand soldier nothing yard address. Spend baby camera Congress analysis glass pretty each factor paper.,5,97,Flipkart,de,Haiti,4.5.2,No,2025.0,2025-06,2025-05-26/2025-06-01,True,137,Positive,discussion open dinner section thousand soldier nothing yard address spend baby camera congress analysis glass pretty each factor paper,discussion open dinner section thousand soldier nothing yard address spend baby camera congress analysis glass pretty factor paper
2025-06-05,Foreign national produce news stage.,Reach training main exactly parent heart big policy everybody hard. Book care seek foot simple including charge character federal customer because.,4,27,Flipkart,hi,Trinidad and Tobago,1.6.5,No,2025.0,2025-06,2025-06-02/2025-06-08,True,147,Positive,reach training main exactly parent heart big policy everybody hard book care seek foot simple including charge character federal customer because,reach training main exactly parent heart big policy everybody hard book care seek foot simple including charge character federal customer
2025-06-06,Per nature wind himself future.,Little goal leave color should page. Meet if research blood news audience few leave opportunity.,3,62,Flipkart,pt,Mongolia,2.1.8,Yes,2025.0,2025-06,2025-06-02/2025-06-08,True,96,Neutral,little goal leave color should page meet if research blood news audience few leave opportunity,little goal leave color page meet research blood news audience leave opportunity
2025-06-07,Receive partner body role pick.,Particularly reality organization skin concern lay often use behavior. Follow today star serve successful assume likely business teacher forget including.,4,29,Flipkart,en,Vietnam,1.4.7,Yes,2025.0,2025-06,2025-06-02/2025-06-08,True,154,Positive,particularly reality organization skin concern lay often use behavior follow today star serve successful assume likely business teacher forget including,particularly reality organization skin concern lay often use behavior follow today star serve successful assume likely business teacher forget including
2025-06-07,Before peace us young personal art popular.,Police cup thought tell design both plan foot cold everybody build smile. Why ok real read choice side eat.,1,83,Google Play,hi,Micronesia,3.5.6,Yes,2025.0,2025-06,2025-06-02/2025-06-08,True,107,Negative,police cup thought tell design both plan foot cold everybody build smile why ok real read choice side eat,police cup thought tell design plan foot cold everybody build smile ok real read choice side eat
2025-06-09,Management game find.,Consumer face PM pay evening performance. Fly charge wide against win example by just account bed.,4,138,Google Play,pt,Qatar,1.3.4,Yes,2025.0,2025-06,2025-06-09/2025-06-15,True,98,Positive,consumer face pm pay evening performance fly charge wide against win example by just account bed,consumer face pm pay evening performance fly charge wide win example account bed
2025-07-03,Assume it fight understand.,Since crime south pass lead a senior over manage computer medical. Exist population enough mother game question me personal born series consider according throw meeting many.,5,133,Flipkart,ja,Martinique,2.2.4,No,2025.0,2025-07,2025-06-30/2025-07-06,True,174,Positive,since crime south pass lead a senior over manage computer medical exist population enough mother game question me personal born series consider according throw meeting many,since crime south pas lead senior manage computer medical exist population enough mother game question personal born series consider according throw meeting many
2025-07-07,Around place require produce mind fast I.,Picture early send morning skin case investment truth together weight. Some gun ahead certainly act south want be fire word clearly article service produce political.,5,35,Amazon,en,Algeria,4.5.8,Yes,2025.0,2025-07,2025-07-07/2025-07-13,True,166,Positive,picture early send morning skin case investment truth together weight some gun ahead certainly act south want be fire word clearly article service produce political,picture early send morning skin case investment truth together weight gun ahead certainly act south want fire word clearly article service produce political
2025-07-09,Body blue again choose.,Expect card inside former all program way where. Budget major many race camera seem sister hundred rise score stay.,5,167,App Store,hi,Philippines,5.0.1,No,2025.0,2025-07,2025-07-07/2025-07-13,True,115,Positive,expect card inside former all program way where budget major many race camera seem sister hundred rise score stay,expect card inside former program way budget major many race camera seem sister hundred rise score stay
2025-07-09,Mission hair challenge character.,Customer I person law shake Congress affect reflect television officer. Produce station visit environmental point speak table trade various risk.,3,38,App Store,es,Tokelau,4.7.4,No,2025.0,2025-07,2025-07-07/2025-07-13,True,145,Neutral,customer i person law shake congress affect reflect television officer produce station visit environmental point speak table trade various risk,customer person law shake congress affect reflect television officer produce station visit environmental point speak table trade various risk
2025-08-05,Financial force show better word might yeah.,Relate fire all including market down later week democratic. Company hear also dark begin media sometimes toward child future low.,3,8,Amazon,de,Rwanda,4.7.3,No,2025.0,2025-08,2025-08-04/2025-08-10,False,130,Neutral,relate fire all including market down later week democratic company hear also dark begin media sometimes toward child future low,relate fire including market later week democratic company hear also dark begin medium sometimes toward child future low
2025-08-05,Writer heart Mrs her we but how.,Decision recently pull eight allow system whose place no generation debate world. Fight seem later level choose once person north indeed share seem exist.,2,19,Amazon,pt,Christmas Island,5.9.6,No,2025.0,2025-08,2025-08-04/2025-08-10,True,154,Negative,decision recently pull eight allow system whose place no generation debate world fight seem later level choose once person north indeed share seem exist,decision recently pull eight allow system whose place generation debate world fight seem later level choose person north indeed share seem exist
2025-08-08,Method finish want remain pretty summer black.,Drive long majority exactly significant lot begin she represent good structure drug. Reason avoid manager defense provide life his maintain future sport.,1,102,Google Play,fr,Korea,2.7.5,Yes,2025.0,2025-08,2025-08-04/2025-08-10,True,153,Negative,drive long majority exactly significant lot begin she represent good structure drug reason avoid manager defense provide life his maintain future sport,drive long majority exactly significant lot begin represent good structure drug reason avoid manager defense provide life maintain future sport
2025-08-09,Design around voice everybody particular finish ask.,Car address son week beat economic myself front house. Ever environmental economy president sign activity fill produce structure summer kitchen admit across already grow point.,2,189,Google Play,ja,Eritrea,4.3.8,Yes,2025.0,2025-08,2025-08-04/2025-08-10,True,176,Negative,car address son week beat economic myself front house ever environmental economy president sign activity fill produce structure summer kitchen admit across already grow point,car address son week beat economic front house ever environmental economy president sign activity fill produce structure summer kitchen admit across already grow point
2025-08-09,Rise thousand catch own than evidence.,Mission account owner would seven usually list front. From radio gas firm dream guess huge particularly wish their south able that.,1,115,App Store,ru,Palestinian Territory,3.2.8,Yes,2025.0,2025-08,2025-08-04/2025-08-10,True,131,Negative,mission account owner would seven usually list front from radio gas firm dream guess huge particularly wish their south able that,mission account owner would seven usually list front radio gas firm dream guess huge particularly wish south able
2025-09-03,Agency interview challenge pretty difficult.,Outside society act social my stand system be cause service throughout spring film look. Argue reality physical but stay bill father memory student center.,5,130,Website,ar,Swaziland,5.4.7,Yes,2025.0,2025-09,2025-09-01/2025-09-07,True,155,Positive,outside society act social my stand system be cause service throughout spring film look argue reality physical but stay bill father memory student center,outside society act social stand system cause service throughout spring film look argue reality physical stay bill father memory student center
2025-09-08,Hospital final appear above.,Require just likely evidence claim stuff parent concern buy. Collection provide action event key concern research throughout mother kind answer play mission.,5,39,App Store,zh,Holy See (Vatican City State),3.7.1,Yes,2025.0,2025-09,2025-09-08/2025-09-14,True,157,Positive,require just likely evidence claim stuff parent concern buy collection provide action event key concern research throughout mother kind answer play mission,require likely evidence claim stuff parent concern buy collection provide action event key concern research throughout mother kind answer play mission
2025-09-09,Account hear difference exist they enough.,Plant reduce visit town between because student bed administration usually billion. Until between know ok allow face inside development lawyer high crime light buy whose trial include.,2,12,Website,de,United Arab Emirates,2.0.1,No,2025.0,2025-09,2025-09-08/2025-09-14,True,184,Negative,plant reduce visit town between because student bed administration usually billion until between know ok allow face inside development lawyer high crime light buy whose trial include,plant reduce visit town student bed administration usually billion know ok allow face inside development lawyer high crime light buy whose trial include
,What then spend offer reason whom none.,If customer address region try near risk next on girl spring. Paper create upon offer end imagine blood authority family water.,5,130,Flipkart,es,Kuwait,3.6.5,No,,,,True,127,Positive,if customer address region try near risk next on girl spring paper create upon offer end imagine blood authority family water,customer address region try near risk next girl spring paper create upon offer end imagine blood authority family water
,Say dog drug enter director strong student.,To television loss election him small detail red son include good. Act strategy eat behavior purpose start away use live government thus especially water raise travel.,1,72,Amazon,pt,Uruguay,5.7.2,No,,,,True,167,Negative,to television loss election him small detail red son include good act strategy eat behavior purpose start away use live government thus especially water raise travel,television loss election small detail red son include good act strategy eat behavior purpose start away use live government thus especially water raise travel
,Purpose here beyond.,Pass share must amount lot per manage world to than make worker. Exactly develop office approach son long must maybe hour rather company with recently least ready.,5,123,Amazon,zh,Mayotte,5.8.6,No,,,,True,163,Positive,pass share must amount lot per manage world to than make worker exactly develop office approach son long must maybe hour rather company with recently least ready,pas share must amount lot per manage world make worker exactly develop office approach son long must maybe hour rather company recently least ready
,Care throw piece move firm main economy.,Especially when gas contain interest industry sell half hundred. Conference capital office direction between establish dog it herself certainly where change south computer.,3,48,Flipkart,pt,Bahamas,4.3.6,Yes,,,,True,172,Neutral,especially when gas contain interest industry sell half hundred conference capital office direction between establish dog it herself certainly where change south computer,especially gas contain interest industry sell half hundred conference capital office direction establish dog certainly change south computer
,Share bar energy choice pressure those finally.,Occur support author class direction first fact environment popular even know television guy. Minute late cold take by doctor edge season see decision however believe view list approach side.,2,128,Website,zh,Brunei Darussalam,1.7.1,No,,,,True,191,Negative,occur support author class direction first fact environment popular even know television guy minute late cold take by doctor edge season see decision however believe view list approach side,occur support author class direction first fact environment popular even know television guy minute late cold take doctor edge season see decision however believe view list approach side
,Source kind hand employee field.,Stuff agreement professional team foot live window music evening know wide recently. Opportunity lead see theory itself policy move training loss.,1,184,Flipkart,ja,Burkina Faso,2.1.7,No,,,,True,146,Negative,stuff agreement professional team foot live window music evening know wide recently opportunity lead see theory itself policy move training loss,stuff agreement professional team foot live window music evening know wide recently opportunity lead see theory policy move training loss
,Determine bad personal might son party.,Light across two water local across involve fall discuss. Nature country think join economic resource position.,3,159,App Store,es,Isle of Man,3.8.6,No,,,,True,111,Neutral,light across two water local across involve fall discuss nature country think join economic resource position,light across two water local across involve fall discus nature country think join economic resource position
,List race fine follow pick.,Form such weight argue simply author. Consider time economic high actually window research his window east yes current same behind.,1,111,Google Play,es,British Virgin Islands,4.2.4,Yes,,,,True,131,Negative,form such weight argue simply author consider time economic high actually window research his window east yes current same behind,form weight argue simply author consider time economic high actually window research window east yes current behind
,Here control affect task simply draw return.,South just cover ready group care together magazine join far. Couple cost girl run every story trial never attention choice fast enjoy happen a.,2,135,App Store,pt,Luxembourg,2.2.2,Yes,,,,True,144,Negative,south just cover ready group care together magazine join far couple cost girl run every story trial never attention choice fast enjoy happen a,south cover ready group care together magazine join far couple cost girl run every story trial never attention choice fast enjoy happen
,Guess sea three state.,Child executive important focus benefit probably analysis visit condition all blood court all. Price moment red eight hand paper audience us decade man threat bag song.,5,97,Website,de,Armenia,4.9.2,Yes,,,,True,168,Positive,child executive important focus benefit probably analysis visit condition all blood court all price moment red eight hand paper audience us decade man threat bag song,child executive important focus benefit probably analysis visit condition blood court price moment red eight hand paper audience u decade man threat bag song
,Society nearly measure price.,Strong back democratic mind big discuss. Country moment eat personal condition see indeed black police group learn professor third.,4,163,Amazon,ar,Mayotte,3.0.7,No,,,,True,131,Positive,strong back democratic mind big discuss country moment eat personal condition see indeed black police group learn professor third,strong back democratic mind big discus country moment eat personal condition see indeed black police group learn professor third
,Try memory number occur behind.,Include plan step food drive nation heart nearly season growth. Language however risk work other military year few feel develop talk against state ready.,5,40,Google Play,ar,Estonia,3.9.4,No,,,,True,153,Positive,include plan step food drive nation heart nearly season growth language however risk work other military year few feel develop talk against state ready,include plan step food drive nation heart nearly season growth language however risk work military year feel develop talk state ready
,Indicate test thank dinner present own.,Economic eight feel now notice design baby foot lot major together reflect standard. Organization feel room office bad argue side girl.,3,116,Amazon,de,Austria,4.7.1,Yes,,,,True,135,Neutral,economic eight feel now notice design baby foot lot major together reflect standard organization feel room office bad argue side girl,economic eight feel notice design baby foot lot major together reflect standard organization feel room office bad argue side girl
,Nice maintain present cultural pattern save east.,American music change maybe determine anything rule hotel knowledge organization measure develop. Skill challenge from live seat nature energy huge its recently seven.,4,146,Amazon,pt,Poland,3.4.0,No,,,,True,167,Positive,american music change maybe determine anything rule hotel knowledge organization measure develop skill challenge from live seat nature energy huge its recently seven,american music change maybe determine anything rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven
,We unit than star add.,Become public interest give fly order agency fight write pattern wrong kind certainly. Under do rate choose rock beat science.,3,2,Website,en,Greenland,5.7.4,Yes,,,,False,126,Neutral,become public interest give fly order agency fight write pattern wrong kind certainly under do rate choose rock beat science,become public interest give fly order agency fight write pattern wrong kind certainly rate choose rock beat science
,Ten affect test power discuss herself.,Deep national seek nature performance yeah reason property heavy town money eight. Exist smile peace apply pressure across home even.,5,90,Flipkart,de,Nauru,5.4.2,Yes,,,,True,133,Positive,deep national seek nature performance yeah reason property heavy town money eight exist smile peace apply pressure across home even,deep national seek nature performance yeah reason property heavy town money eight exist smile peace apply pressure across home even
